icao	latitude	longitude	elev	name	state	country	wban	ncei_id	county	timezone
KUDX	44.1250000000000000	-102.8294400000000053	"3016"	RAPID CITY	SD	UNITED STATES	"94047"	"30001928"	PENNINGTON	"-6"
KUEX	40.3208300000000008	-98.4416700000000020	"1976"	HASTINGS	NE	UNITED STATES	"94981"	"30001929"	WEBSTER	"-6"
KVAX	30.8900000000000006	-83.0019400000000047	"178"	MOODY AFB	GA	UNITED STATES	"53856"	"30001947"	LANIER	"-5"
KVBX	34.8380599999999987	-120.3958300000000037	"1233"	VANDENBERG AFB	CA	UNITED STATES	"93234"	"30001930"	SANTA BARBARA	"-8"
KVNX	36.7408300000000025	-98.1274999999999977	"1210"	VANCE AFB	OK	UNITED STATES	"03995"	"30001931"	ALFALFA	"-6"
KVTX	34.4116700000000009	-119.1786100000000062	"2726"	LOS ANGELES	CA	UNITED STATES	"53101"	"30001932"	VENTURA	"-8"
KVWX	38.2599999999999980	-87.7246999999999986	"-99999"	EVANSVILLE	IN	UNITED STATES	"63845"	"30001609"	GIBSON	"-6"
KYUX	32.4952800000000011	-114.6558299999999946	"174"	YUMA	AZ	UNITED STATES	"53116"	"30001934"	PIMA	"-7"
LPLA	38.7302800000000005	-27.3216700000000010	"3334"	LAJES AB		AZORES	"13201"	"30001938"		"-1"
PABC	60.7927800000000005	-161.8741699999999923	"162"	BETHEL FAA	AK	UNITED STATES		"30001939"	BETHEL	"-9"
PACG	56.8527800000000028	-135.5291699999999935	"270"	SITKA	AK	UNITED STATES	"25361"	"30001940"	SITKA BOROUGH	"-9"
PAEC	64.5113900000000058	-165.2949999999999875	"54"	NOME	AK	UNITED STATES	"26641"	"30001941"	NOME	"-9"
PAHG	60.7259140000000031	-151.3514600000000030	"243"	ANCHORAGE	AK	UNITED STATES	"26548"	"30001942"	KENAI PENINSULA BOROUGH	"-9"
PAIH	59.4619399999999985	-146.3011099999999942	"67"	MIDDLETON ISLAND	AK	UNITED STATES	"25404"	"30001958"	VALDEZ-CORDOVA	"-9"
PAKC	58.6794399999999996	-156.6294399999999882	"63"	KING SALMON	AK	UNITED STATES	"25503"	"30001959"	BRISTOL BAY BOROUGH	"-9"
PAPD	65.0355600000000038	-147.4991699999999923	"2593"	FAIRBANKS	AK	UNITED STATES	"24690"	"30001960"	FAIRBANKS NORTH STAR BOROUGH	"-9"
PGUA	13.4544400000000000	144.8083300000000122	"264"	ANDERSEN AFB AGANA	GU	GUAM	"41417"	"30001961"	GUAM	"-8"
PHKI	21.8941699999999990	-159.5522200000000055	"179"	SOUTH KAUAI	HI	UNITED STATES	"22548"	"30001962"	KAUAI	"-10"
PHKM	20.1255600000000001	-155.7777800000000070	"3812"	KAMUELA	HI	UNITED STATES	"22550"	"30001963"	HAWAII	"-10"
PHMO	21.1327800000000003	-157.1800000000000068	"1363"	MOLOKAI	HI	UNITED STATES	"22547"	"30001964"	HAWAII	"-8"
PHWA	19.0949999999999989	-155.5688900000000103	"1370"	SOUTH SHORE	HI	UNITED STATES	"22513"	"30001965"	HAWAII	"-10"
RKJK	35.9241699999999966	126.6222199999999987	"78"	KUNSAN		"KOREA, SOUTH"	"43219"	"30001967"		"9"
RKSG	36.9597199999999972	127.0183300000000060	"52"	CAMP HUMPHREYS		"KOREA, SOUTH"	"43216"	"30001968"		"9"
RODN	26.3019399999999983	127.9097199999999930	"218"	KADENA		JAPAN	"42219"	"30001969"		"9"
TADW	38.6950000000000003	-76.8449999999999989	"344"	ANDREWS AFB	MD	UNITED STATES		"30112653"	PRINCE GEORGE'S	"-5"
TALT	33.6469439999999977	-84.2619439999999997	"1076"	ATLANTA	GA	UNITED STATES		"30112655"	WEBSTER	"-5"
TBNA	35.9799999999999969	-86.6619440000000054	"817"	NASHVILLE	TN	UNITED STATES		"30112680"	WILLIAMSON	"-6"
TBOS	42.1580560000000020	-70.9330559999999934	"262"	BOSTON	MA	UNITED STATES		"30112656"	NORFOLK	"-5"
TBWI	39.0900000000000034	-76.6299999999999955	"299"	BALTIMORE WASH.	MD	UNITED STATES		"30112657"	ANNE ARUNDEL	"-5"
TCLT	35.3369440000000026	-80.8850000000000051	"869"	CHARLOTTE	NC	UNITED STATES		"30112658"	MECKLENBURG	"-5"
TCMH	40.0061109999999971	-82.7150000000000034	"1148"	COLUMBUS	OH	UNITED STATES		"30112662"	LICKING	"-5"
TCVG	38.8980559999999969	-84.5799999999999983	"1053"	COVINGTON	KY	UNITED STATES		"30112663"	KENTON	"-5"
TDAL	32.9261109999999988	-96.9680560000000042	"623"	DALLAS LOVE FIELD	TX	UNITED STATES		"30112664"	DALLAS	"-6"
