icao	latitude	longitude	elev	name	state	country	wban	ncei_id	county	timezone
KJKL	37.5908299999999969	-83.3130599999999930	"1364"	JACKSON	KY	UNITED STATES	"03889"	"30001874"	BREATHITT	"-5"
KLBB	33.6541700000000006	-101.8136099999999971	"3259"	LUBBOCK	TX	UNITED STATES	"23042"	"30001875"	LUBBOCK	"-6"
KLCH	30.1250000000000000	-93.2158299999999969	"13"	LAKE CHARLES	LA	UNITED STATES	"03937"	"30001876"	CALCASIEU	"-6"
KLGX	47.1158000000000001	-124.1068999999999960	"252"	LANGLEY HILL	WA	UNITED STATES		"30078818"	GRAYS HARBOR	"-8"
KLIX	30.3366700000000016	-89.8252800000000065	"24"	NEW ORLEANS	LA	UNITED STATES	"53813"	"30001877"	ST. TAMMANY	"-6"
KLNX	41.9577799999999996	-100.5758299999999963	"2970"	NORTH PLATTE	NE	UNITED STATES	"94049"	"30001878"	LOGAN	"-6"
KLOT	41.6044399999999968	-88.0847200000000043	"663"	CHICAGO	IL	UNITED STATES	"04831"	"30001879"	WILL	"-6"
KLRX	40.7397199999999984	-116.8027799999999985	"6744"	ELKO	NV	UNITED STATES	"04108"	"30001880"	LANDER	"-8"
KLSX	38.6988899999999987	-90.6827799999999939	"608"	ST LOUIS	MO	UNITED STATES	"03982"	"30001881"	ST. CHARLES	"-6"
KLTX	33.9891700000000014	-78.4291699999999992	"64"	WILMINGTON	NC	UNITED STATES	"93774"	"30001882"	BRUNSWICK	"-5"
KLVX	37.9752799999999979	-85.9438899999999961	"719"	LOUISVILLE	KY	UNITED STATES	"53827"	"30001883"	HARDIN	"-5"
KLWX	38.9762800000000027	-77.4875100000000003	"-99999"	STERLING	VA	UNITED STATES	"93767"	"30001884"	LOUDOUN	"-5"
